"start_date","end_date","type","comment","dyad","id","dyad_name","type_name"
2004-05-13,NA,2,"Not certain if should be coded as a ceasefire. The agreement is made as a safe zone area where AUC can only leave with the permission of government officials. The safe zone is to contribute to the improvement and verification of the cessation of hostilities.",-1,28,"Government of Colombia - AUC","Peace process"
2003-07-15,NA,2,"

DDR: Demobilization started in 2003. Demobilization and amnesty between 2003-2006.

Continued violations throughout the ceasefire:
""In the 22 months of the cease-fire, between December 2002 and September 2004, the government reported a 67 percent reduction in homicides and an 83 percent reduction in massacres."" (Arnson, 2005)

Enforcement:  The OAS Support Mission, MAPP / OAS, will verify compliance with this Agreement and commitments acquired.

The ceasefire is an agreement to maintain the ceasefire declared in December 2002.",-1,27,"Government of Colombia - AUC","Peace process"
2002-12-01,2003-07-14,2,"1. Fractionalizing: A paramilitary splinter group known as Metro has warned that it will not abide by the AUC ceasefire that was declared recently. The group, which is a splinter organisation of the United Self-Defence Forces of Colombia (AUC), has also said it will not enter into negotiations with the government 

2. Fractionalizing: The only faction that has not subscribed to the ceasefire is the so-called Metro Bloc, which operates in the northwestern department of Antioquia.

Geography: ""We have taken the historic decision to declare a unilateral ceasefire with national reach,"" an open letter to President Uribe signed by Carlos Castano, the AUC chief, stated.

DDR: Demobilization started in 2003, but in accordance with the peace negotiations and not as part of the ceasefire. Demobilization and amnesty between 2003-2006.

Continued violations throughout the ceasefire:
""In the 22 months of the cease-fire, between December 2002 and September 2004, the government reported a 67 percent reduction in homicides and an 83 percent
reduction in massacres."" (Arnson, 2005)

Enforcement: The OAS Support Mission, MAPP / OAS, will verify compliance with this Agreement and commitments acquired.",-1,13,"Government of Colombia - AUC","Peace process"
2001-12-18,2002-01-06,3,"type_2: 3 - holiday ceasefire",624,14,"Government of Colombia - ELN","Religious / other"
2000-10-31,2000-11-01,3,"Implement: Observers From  Cuba, France, Norway, Spain and Switzerland were to monitor the releases, he added, 
and the army would leave the designated area ""after the hostages are set free."" Agence France-Presse, 01.11.2000

Uncertain if the government is part of the ceasefire as they are mentioned as observers! Both are coded. 

Type_2: 3 - hostage release",624,15,"Government of Colombia - ELN","Hostage release"
2000-10-31,2000-11-01,3,"Implement: Observers From  Cuba, France, Norway, Spain and Switzerland were to monitor the releases, he added, 
and the army would leave the designated area ""after the hostages are set free."" Agence France-Presse, 01.11.2000

Uncertain if the government is part of the ceasefire as they are mentioned as observers! For now; both are coded and set to bilateral

Type_2: 3 - hostage release",624,15,"Government of Colombia - ELN","Hostage release"
2000-04-13,2000-04-23,3,"type_2: 3 - holy week truce",624,16,"Government of Colombia - ELN","Religious / other"
1999-12-20,2000-01-10,3,"type_2: 3 - holiday cesaefire for christmas",623,17,"Government of Colombia - FARC","Religious / other"
1998-12-20,1999-01-06,3,"Type_2: 3 - holiday ceasefire during christmas",-1,18,"Government of Colombia - AUC","Religious / other"
1990-06-01,1991-02-15,2,"Declaration and effect date:
The sources are a bit ambigous, but I've interpreted them as may being the declaration date, and june the effect date.

DDR_reference: 
Not sure if the reference to disarmament in evidence_onset is directly related to the ceasefire or a parallell agreement

Ending:
Ended as the conflict were resolved by a peace agreement.

Type 2:
To free hostages and negotiate peace
",626,26,"Government of Colombia - EPL","Peace process"
1989-05-02,NA,2,NA,626,25,"Government of Colombia - EPL","Peace process"
1989-02-28,NA,2,"Declaration and effect dates:
A bit uncertain as ONE source also reports a ceasefire the 17th of February. (BBC, 20.02.1989)

",623,19,"Government of Colombia - FARC","Peace process"
1989-02-05,NA,2,"DDR-reference:
Coded as one since it's a recomitment to the former ceasefire",625,24,"Government of Colombia - M-19","Peace process"
1989-01-10,1989-02-04,2,NA,625,23,"Government of Colombia - M-19","Peace process"
